ConfirmationDialog.tsx,src/components/,Dialog,~2,Generic confirmation,"Message, OK/Cancel buttons,"Standard dialog"
CreatePromptDialog.tsx,src/components/,Dialog,~4,System prompt creator,"Text editor, Variables, Test,"Modal with editor"
CustomErrorToast.tsx,src/components/,Notification,~2,Error toast,"Close button, Error icon,"Toast notification"
InputRequestToast.tsx,src/components/,Notification,~2,User input prompt,"Text field, Submit button,"Toast with input"
McpConsentToast.tsx,src/components/,Notification,~2,Tool execution approval,"Approve/reject buttons, Tool details,"Toast with actions"
TelemetryBanner.tsx,src/components/,Notification,~2,Privacy notice,"Opt-in/out buttons,"Info banner"
SetupBanner.tsx,src/components/,Notification,~2,Configuration reminder,"Dismissible, Action link,"Info banner"
AuxiliaryActionsMenu.tsx,src/components/chat/,Menu,12,Dropdown with theme/file/token,"File attach, Context picker, Theme selector, Token toggle,"DropdownMenu with SubMenu"
ChatInputControls.tsx,src/components/,Menu,~3,Chat toolbar,"Send, Attachment, More actions,"Toolbar above input"
AgentPicker.tsx,src/components/,Selector,~2,AI agent type selector,"Agent selection dropdown,"Selector"
ChatModeSelector.tsx,src/components/,Selector,~2,Basic vs Agent mode,"Mode toggle, Radio/toggle buttons,"Toggle interface"
LanguageSelector.tsx,src/components/,Selector,~2,UI language selection,"Language picker,"Dropdown selector"
ZoomSelector.tsx,src/components/,Selector,~2,Preview zoom level,"Zoom control,"Selector"
ThinkingBudgetSelector.tsx,src/components/,Selector,~2,AI reasoning token limit,"Token limit picker,"Selector"
MaxChatTurnsSelector.tsx,src/components/,Selector,~2,Conversation length limit,"Turn limit picker,"Selector"
AutoApproveSwitch.tsx,src/components/,Toggle,~2,Auto-execute proposals,"Toggle switch,"Switch toggle"
AutoExpandPreviewSwitch.tsx,src/components/,Toggle,~2,Auto-open preview,"Toggle switch,"Switch toggle"
ChatCompletionNotificationSwitch.tsx,src/components/,Toggle,~2,Toast on completion,"Toggle switch,"Switch toggle"
AutoUpdateSwitch.tsx,src/components/,Toggle,~2,Auto-update app,"Toggle switch,"Switch toggle"
TelemetrySwitch.tsx,src/components/,Toggle,~2,Analytics opt-in,"Toggle switch,"Switch toggle"
TemplateCard.tsx,src/components/,Card,~3,App template preview,"Thumbnail, Description, Click,"Card layout"
PriceBadge.tsx,src/components/,Card,~1,Model cost indicator,"Price display,"Small badge"
SetupProviderCard.tsx,src/components/,Card,~3,Provider setup card,"Icon/name, Setup button, Status badge,"Card layout"
ErrorBoundary.tsx,src/components/,Utility,~2,Error boundary,"Fallback UI, Error details,"Error container"
OpenCodeTool.tsx,src/components/,Utility,~2,External editor launcher,"Launch button,"Button/action"
CodeHighlight.tsx,src/components/chat/,Utility,~4,Syntax highlighting,"Language detection, Copy button, Line numbers,"Code block display"
FreeAgentQuotaBanner.tsx,src/components/chat/,Banner,~2,Quota exceeded warning,"Warning message,"Banner"
ContextLimitBanner.tsx,src/components/chat/,Banner,~2,Token limit warning,"Alert message,"Banner"
UncommittedFilesBanner.tsx,src/components/chat/,Banner,~3,Pending changes display,"File list, Auto-fetch,"Info banner"
LoadingBlock.tsx,src/components/ui/,Primitive,~1,Loading placeholder,"Skeleton shimmer,"Skeleton UI"
LoadingBar.tsx,src/components/ui/,Primitive,~1,Progress indicator,"Progress animation,"Progress bar"
ColorPicker.tsx,src/components/ui/,Primitive,~4,Color selection,"Color input, Swatches, Palette,"Color picker UI"
NumberInput.tsx,src/components/ui/,Primitive,~2,Numeric input,"Number field, +/- buttons,"Input with spinner"
SimpleAvatar.tsx,src/components/ui/,Primitive,~2,User avatar,"Initials fallback, Image support,"Avatar display"
Button,src/components/ui/,Primitive,~2,Button component,"Variants, States, Icons,"Base UI button"
Card,src/components/ui/,Primitive,~1,Card container,"Container with styling,"Card layout"
Dialog,src/components/ui/,Primitive,~2,Modal dialog,"Accessible modal, Animations,"Dialog container"
Dropdown Menu,src/components/ui/,Primitive,~2,Context menu,"Sub-menus, Keyboard nav,"Dropdown menu"
Popover,src/components/ui/,Primitive,~2,Floating container,"Position handling, Animations,"Popover UI"
Tabs,src/components/ui/,Primitive,~2,Tab interface,"Tab switching, Keyboard nav,"Tab UI"
Sidebar,src/components/ui/,Primitive,~3,Sidebar container,"Collapsible, Groups, Mobile,"Sidebar layout"
Command,src/components/ui/,Primitive,~2,Command/search,"Input, List, Filtering,"Command palette"
Tooltip,src/components/ui/,Primitive,~2,Hover tooltip,"Positioning, Delay, Keyboard,"Tooltip UI"
Switch,src/components/ui/,Primitive,~1,Toggle switch,"Checked state, Disabled,"Toggle switch"
Checkbox,src/components/ui/,Primitive,~1,Checkbox input,"Checked state, Indeterminate,"Checkbox"
Input,src/components/ui/,Primitive,~1,Text input,"Variants, Validation,"Input field"
